created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-02-04T09:52:31Z,1621808914730815500,1621808914730815491,@IbaiLlanos Solo te falta el PC que te estoy haciendo,@IbaiLlanos Solo te falta el PC que te estoy haciendo,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1621585012788265e3,1621585012788264960,2754746065,2754746065,IbaiLlanos,,,,NA,FALSE,18,2256,FALSE,NA,FALSE,NA,es,NA,NA,53,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T16:36:29Z,1621548189613543400,1621548189613543430,esto es real @illojuan xd https://t.co/vcoG5hmt96,esto es real @illojuan xd https://t.co/vcoG5hmt96,FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,1035,33592,FALSE,NA,FALSE,NA,es,FALSE,NA,25,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T10:08:01Z,1.6214504282641121e+18,1621450428264112130,"@despacillo si, pero no me dejaste meterte el chip","@despacillo si, pero no me dejaste meterte el chip",FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1621433484983025700,1621433484983025666,199826882,199826882,despacillo,,,,NA,FALSE,1,466,FALSE,NA,FALSE,NA,es,NA,NA,50,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T08:37:31Z,1621427650827788300,1621427650827788289,Estamos hablando con AMD para investigar cada error 🥰,Estamos hablando con AMD para investigar cada error 🥰,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,24,1777,FALSE,NA,FALSE,NA,es,NA,NA,53,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-03T07:56:16Z,1621417270101610500,1621417270101610500,@antoniosarosi Es un meme muy boomer,@antoniosarosi Es un meme muy boomer,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1621298315483664400,1621298315483664387,2754957314,2754957314,antoniosarosi,,,,NA,FALSE,2,223,FALSE,NA,FALSE,NA,es,NA,NA,36,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-02T13:16:21Z,1621135436117852200,1621135436117852161,Chicos el bioaumento de hoy se va a tener que aplazar... El augment no estaba a la altura de @despacillo vamos a tener que conseguir algo de grado militar y preparar el quirofano para otro día... https://t.co/xPkDWiLikX,Chicos el bioaumento de hoy se va a tener que aplazar... El augment no estaba a la altura de @despacillo vamos a tener que conseguir algo de grado militar y preparar el quirofano para otro día... https://t.co/xPkDWiLikX,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,7,239,FALSE,NA,FALSE,NA,es,FALSE,NA,195,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-02T09:49:48Z,1621083454560669700,1621083454560669697,Hoy vamos a aumentar a uno de nuestros colegas... Las distancias entre el hombre y la tecnología se estrechan...,Hoy vamos a aumentar a uno de nuestros colegas... Las distancias entre el hombre y la tecnología se estrechan...,FALSE,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,7,363,FALSE,NA,FALSE,NA,es,NA,NA,112,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-01T08:03:31Z,1620694318074962e3,1620694318074961921,Este jueves le voy a implantar un chip a @despacillo,Este jueves le voy a implantar un chip a @despacillo,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,2,323,FALSE,NA,FALSE,NA,es,NA,NA,52,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-31T22:58:01Z,1620557040975495200,1620557040975495169,@TamayoStuff @IbaiLlanos recuerda mirar detrás de la cortina de la ducha,@TamayoStuff @IbaiLlanos recuerda mirar detrás de la cortina de la ducha,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1620509998957887500,1620509998957887488,212971359,212971359,TamayoStuff,,,,NA,FALSE,1,225,FALSE,NA,FALSE,NA,es,NA,NA,72,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-31T17:09:57Z,1620469445662756900,1620469445662756864,Arrancando...! https://t.co/bXJMBn9YAd,Arrancando...! https://t.co/bXJMBn9YAd,FALSE,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,3,74,FALSE,NA,FALSE,NA,es,FALSE,NA,38,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
